#  z  fg09_1000A     fg09_LW   fg09_heat  hm12_1000A     hm12_LW   hm12_heat   p18_1000A      p18_LW    p18_heat
0.00    1.37e-03    1.38e-03    1.75e-03    5.78e-04    7.12e-04    2.22e-03    9.80e-04    1.14e-03    2.68e-03
0.10    1.82e-03    1.84e-03    2.35e-03    9.18e-04    1.15e-03    3.70e-03    1.45e-03    1.67e-03    3.80e-03
0.20    2.35e-03    2.38e-03    3.05e-03    1.46e-03    1.83e-03    5.89e-03    2.01e-03    2.29e-03    5.08e-03
0.30    3.00e-03    3.04e-03    3.89e-03    2.23e-03    2.81e-03    8.95e-03    2.65e-03    3.00e-03    6.58e-03
0.40    3.77e-03    3.81e-03    4.89e-03    3.29e-03    4.15e-03    1.30e-02    3.38e-03    3.82e-03    8.33e-03
0.50    4.65e-03    4.71e-03    6.04e-03    4.67e-03    5.88e-03    1.82e-02    4.21e-03    4.74e-03    1.04e-02
0.60    5.73e-03    5.81e-03    7.46e-03    6.42e-03    8.07e-03    2.46e-02    5.15e-03    5.79e-03    1.28e-02
0.70    6.84e-03    6.93e-03    8.90e-03    8.57e-03    1.08e-02    3.22e-02    6.21e-03    6.98e-03    1.57e-02
0.80    8.31e-03    8.41e-03    1.08e-02    1.11e-02    1.39e-02    4.11e-02    7.38e-03    8.31e-03    1.90e-02
0.90    9.70e-03    9.82e-03    1.26e-02    1.41e-02    1.77e-02    5.12e-02    8.66e-03    9.80e-03    2.29e-02
1.00    1.13e-02    1.15e-02    1.47e-02    1.76e-02    2.19e-02    6.25e-02    1.01e-02    1.14e-02    2.74e-02
1.10    1.32e-02    1.33e-02    1.71e-02    2.14e-02    2.67e-02    7.51e-02    1.16e-02    1.32e-02    3.25e-02
1.20    1.50e-02    1.52e-02    1.95e-02    2.57e-02    3.19e-02    8.88e-02    1.32e-02    1.52e-02    3.83e-02
1.30    1.72e-02    1.74e-02    2.23e-02    3.04e-02    3.76e-02    1.04e-01    1.50e-02    1.74e-02    4.46e-02
1.40    1.92e-02    1.95e-02    2.49e-02    3.53e-02    4.35e-02    1.20e-01    1.69e-02    1.97e-02    5.15e-02
1.50    2.15e-02    2.17e-02    2.79e-02    4.04e-02    4.96e-02    1.36e-01    1.89e-02    2.21e-02    5.88e-02
1.60    2.39e-02    2.42e-02    3.11e-02    4.56e-02    5.59e-02    1.54e-01    2.09e-02    2.47e-02    6.65e-02
1.70    2.66e-02    2.70e-02    3.47e-02    5.08e-02    6.22e-02    1.73e-01    2.31e-02    2.73e-02    7.44e-02
1.80    2.91e-02    2.95e-02    3.80e-02    5.61e-02    6.93e-02    1.93e-01    2.53e-02    3.01e-02    8.26e-02
1.90    3.23e-02    3.27e-02    4.22e-02    6.21e-02    7.73e-02    2.14e-01    2.76e-02    3.29e-02    9.10e-02
2.00    3.47e-02    3.51e-02    4.54e-02    6.96e-02    8.69e-02    2.35e-01    3.00e-02    3.58e-02    9.94e-02
2.10    3.78e-02    3.83e-02    4.96e-02    7.87e-02    9.74e-02    2.56e-01    3.24e-02    3.87e-02    1.08e-01
2.20    4.12e-02    4.17e-02    5.40e-02    8.82e-02    1.08e-01    2.75e-01    3.48e-02    4.16e-02    1.16e-01
2.30    4.43e-02    4.49e-02    5.81e-02    9.74e-02    1.18e-01    2.93e-01    3.73e-02    4.45e-02    1.24e-01
2.40    4.82e-02    4.88e-02    6.32e-02    1.06e-01    1.27e-01    3.09e-01    3.97e-02    4.74e-02    1.32e-01
2.50    5.20e-02    5.25e-02    6.78e-02    1.14e-01    1.36e-01    3.23e-01    4.22e-02    5.03e-02    1.40e-01
2.60    5.58e-02    5.63e-02    7.26e-02    1.21e-01    1.43e-01    3.34e-01    4.46e-02    5.31e-02    1.48e-01
2.70    5.85e-02    5.91e-02    7.63e-02    1.28e-01    1.49e-01    3.43e-01    4.71e-02    5.58e-02    1.56e-01
2.80    6.27e-02    6.34e-02    8.16e-02    1.33e-01    1.55e-01    3.51e-01    4.95e-02    5.86e-02    1.63e-01
2.90    6.73e-02    6.80e-02    8.73e-02    1.38e-01    1.59e-01    3.56e-01    5.20e-02    6.12e-02    1.70e-01
3.00    7.12e-02    7.19e-02    9.20e-02    1.42e-01    1.62e-01    3.60e-01    5.44e-02    6.38e-02    1.77e-01
3.10    7.55e-02    7.62e-02    9.75e-02    1.45e-01    1.64e-01    3.62e-01    5.68e-02    6.63e-02    1.84e-01
3.20    7.98e-02    8.04e-02    1.03e-01    1.48e-01    1.66e-01    3.64e-01    5.93e-02    6.88e-02    1.91e-01
3.30    8.48e-02    8.54e-02    1.08e-01    1.49e-01    1.66e-01    3.63e-01    6.17e-02    7.12e-02    1.98e-01
3.40    8.82e-02    8.89e-02    1.13e-01    1.51e-01    1.66e-01    3.62e-01    6.41e-02    7.36e-02    2.04e-01
3.50    9.31e-02    9.38e-02    1.18e-01    1.51e-01    1.65e-01    3.60e-01    6.65e-02    7.58e-02    2.11e-01
3.60    9.91e-02    9.96e-02    1.24e-01    1.51e-01    1.64e-01    3.57e-01    6.89e-02    7.80e-02    2.17e-01
3.70    1.02e-01    1.03e-01    1.28e-01    1.51e-01    1.63e-01    3.54e-01    7.12e-02    8.01e-02    2.23e-01
3.80    1.08e-01    1.08e-01    1.33e-01    1.51e-01    1.61e-01    3.50e-01    7.35e-02    8.22e-02    2.29e-01
3.90    1.12e-01    1.13e-01    1.38e-01    1.50e-01    1.58e-01    3.45e-01    7.59e-02    8.42e-02    2.34e-01
4.00    1.17e-01    1.17e-01    1.42e-01    1.48e-01    1.56e-01    3.41e-01    7.81e-02    8.61e-02    2.40e-01
4.10    1.24e-01    1.24e-01    1.48e-01    1.47e-01    1.53e-01    3.36e-01    8.05e-02    8.80e-02    2.45e-01
4.20    1.26e-01    1.26e-01    1.51e-01    1.45e-01    1.50e-01    3.31e-01    8.27e-02    8.97e-02    2.50e-01
4.30    1.34e-01    1.33e-01    1.57e-01    1.44e-01    1.47e-01    3.26e-01    8.50e-02    9.15e-02    2.55e-01
